timestamp,open,high,low,close,market_cap,dominance,volume
2019-07-23,866129.5192,866204.0478,822494.2799999999,826087.5634,1266204293357.0,52.28249952624082,47624.37071
2019-07-24,826076.6772,832124.38,797623.5,817577.0672,1266204293357.0,52.28249952624082,43475.380377
2019-07-25,817587.1159999999,852054.5,813955.3122,827340.3138,1266204293357.0,52.28249952624082,37873.354728
2019-07-26,827531.2409999999,828186.9251999999,807002.38,822661.7599999999,1266204293357.0,52.28249952624082,27167.463217
2019-07-27,822661.7599999999,853198.3883999999,781545.4199999999,793563.7848,1266204293357.0,52.28249952624082,43809.778301
2019-07-28,793764.7607999999,803484.4626,767477.1,799008.5596,1266204293357.0,52.28249952624082,29401.022937
2019-07-29,799008.5596,814706.46,786737.2999999999,796169.7736,1266204293357.0,52.28249952624082,29021.937411
2019-07-30,796289.5217999999,813473.8072,787323.48,801744.3453999999,1266204293357.0,52.28249952624082,32536.368834
2019-07-31,801810.5,846594.6519999999,800135.7,844143.5822,1266204293357.0,52.28249952624082,39515.35456
2019-08-01,844143.5822,876578.5964,825966.1403999999,868801.6625999999,1266204293357.0,52.28249952624082,41727.637028
2019-08-02,868802.5,893505.7999999999,860960.249,881258.825,1266204293357.0,52.28249952624082,42990.444221
2019-08-03,881258.825,913165.4397999999,879096.6582,905803.8564,1266204293357.0,52.28249952624082,33802.318824
2019-08-04,905803.8564,924489.6,883624.48,915213.7201999999,1266204293357.0,52.28249952624082,39924.745141
2019-08-05,915277.3625999999,999647.9247999999,915093.9719999998,990543.7119999998,1266204293357.0,52.28249952624082,65153.673713
2019-08-06,990644.2,1032572.818,940123.858,961476.7206,1266204293357.0,52.28249952624082,76705.389875
2019-08-07,961476.7206,1016701.5758,953199.0216,1002789.0122,1266204293357.0,52.28249952624082,69173.390353
2019-08-08,1002789.8496,1009904.3999999999,964768.5399999999,1004860.7398,1266204293357.0,52.28249952624082,51207.257174
2019-08-09,1004391.7958,1008705.2431999999,979757.9999999999,994830.3625999999,1266204293357.0,52.28249952624082,39427.152588
2019-08-10,994829.5251999999,1003623.8999999999,943749.7999999999,947041.6193999999,1266204293357.0,52.28249952624082,42633.087048
2019-08-11,947035.7575999999,971383.9999999999,930528.0914,967194.4877999999,1266204293357.0,52.28249952624082,26772.90691
2019-08-12,966282.5591999999,969532.5086,940845.6967999999,954307.7392,1266204293357.0,52.28249952624082,17568.227075
2019-08-13,954497.829,959338.8383999999,903424.803,912155.5353999998,1266204293357.0,52.28249952624082,33234.72968
2019-08-14,912209.9664,912554.9751999999,831379.0939999999,841617.9838,1266204293357.0,52.28249952624082,54451.847499
